"","mod","A","B","sigma"
"884","BHL",35778.175313059,6232.55813953488,9.26482109224159
"885","RKL",3.52,4.296e-05,9.21355758995935
"886","BHL",53966.5407447383,12471.667566109,8.92643685354903
"887","RKL",2.906,2.804e-05,10.4296892744605
"888","BHL",36805.2999631947,7280.08833271991,10.7945798909517
"889","RKL",5.37,9.838e-05,9.85807941917649
"890","BHL",25826.4462809917,3553.71900826446,11.9591218308735
"891","RKL",6.123,0.0001045,10.8992230220851
"892","BHL",23724.7924080664,1137.84104389087,8.94427190999916
"893","RKL",6.151,0.0001044,9.89662533129804
"894","BHL",37355.2484124019,6514.7553231229,9.30484210398471
"895","RKL",4.978,7.945e-05,8.67436134654904
"896","BHL",29334.1155764154,4749.19331182165,10.3274048096503
"897","HSL",5.589,2941,10.4245876570749
"898","BHL",133226.751931788,47282.1742605915,12.506841550221
"899","RKL",6.211,0.0001018,9.72663247869433
"900","BHL",24301.3365735115,2855.40704738761,10.1108151556558
"901","HSL",6.868,2985,12.1572123693046
"902","BHL",47596.3826749167,9676.34459781057,12.3550981630348
"903","RKL",3.337,4.114e-05,9.68548555282575
"904","BHL",110314.396028682,41599.5587424159,10.5726913282592
"905","RKL",5.873,0.0001137,9.96023841111995
"906","BHL",56529.1124929339,15025.4381006218,10.2248633552001
"907","RKL",6.66,0.0001329,9.3988947549614
"908","BHL",26946.9145782808,3069.25357046618,8.95502439463906
"909","RKL",4.094,4.671e-05,10.0840478554551
"910","BHL",60277.2754671489,15141.6515973478,9.56510890297173
"911","RKL",4.198,6.963e-05,11.1810387242585
"912","BHL",48402.7105517909,11340.7550822846,11.0981024421955
"913","RKL",4.662,6.906e-05,9.9405346560943
"914","BHL",25568.9082076195,3162.87394528254,10.366730566239
"915","HSL",4.706,3939,10.1372758332549
"916","BHL",48971.5964740451,12022.5269343781,9.55636965134993
"917","RKL",6.196,0.0001133,10.459312659567
"918","BHL",27255.3829381303,2878.16843826656,10.4851530497505
"919","HSL",8.537,2479,11.1303654337048
"920","BHL",19062.1425848265,913.457872664888,11.7802056229277
"921","RKL",3.892,4.998e-05,9.72663247869433
"922","BHL",40899.7955010225,7378.32310838446,9.85329278164293
"923","RKL",4.414,7.78e-05,9.35765324510861
"924","BHL",32435.9390204346,5819.00746026597,10.0483483882268
"925","RKL",6.849,0.0001103,8.87356509416114
"926","BHL",24125.4523522316,651.628468033776,11.2938487863156
"927","RKL",3.086,3.17e-05,8.92643685354903
"928","BHL",20678.2464846981,641.025641025641,10.8792096236695
"929","RKL",6.427,0.0001039,8.76384136749365
"930","BHL",67114.0939597315,20657.7181208054,10
"931","RKL",3.709,4.381e-05,8.5654872326904
"932","BHL",34340.6593406593,5037.77472527472,9.53462589245592
"933","HSL",6.097,2913,12.5294002758147
"934","BHL",37439.1613627855,5990.26581804568,9.8628730394059
"935","RKL",2.541,1.044e-05,9.80109582377307
"936","BHL",32573.2899022801,6781.75895765472,10.9031093559659
"937","RKL",3.641,4.456e-05,9.20184791661111
"938","BHL",44563.2798573975,11122.9946524064,9.90633266598225
"939","RKL",3.752,5.627e-05,9.29679641108028
"940","BHL",37636.4320662401,6703.04855099737,10.1982429940851
"941","RKL",5.88,0.000116,11.9318489975837
"942","BHL",35473.5721887194,7321.74529975168,11.6365636715742
"943","RKL",5.358,8.215e-05,12.3901374111029
"944","BHL",28176.9512538743,3000.84530853762,9.01303325639653
"945","RKL",4.872,7.764e-05,10.4828483672192
"946","BHL",30487.8048780488,4176.82926829268,10.5187426898873
"947","HSL",9.821,1871,9.14014161845136
"948","BHL",19774.5699031046,1296.61854854657,9.83897459614475
"949","RKL",5.779,9.768e-05,12.2251581219818
"950","BHL",46554.9348230913,9292.36499068901,8.80792364902093
"951","HSL",5.756,3575,10.7458569276045
"952","BHL",38714.6728610143,10282.6171118854,10.3522775057108
"953","RKL",5.142,8.844e-05,12.4524214687014
"954","BHL",34650.0346500346,5852.39085239085,9.38233281301002
"955","RKL",7,0.0001202,9.79639167383865
"956","BHL",39541.3206801107,8956.10913404508,11.1643027207785
"957","RKL",4.641,7.839e-05,8.50332757799973
"958","BHL",25438.8196387688,2460.95141185449,11.0485434560398
"959","RKL",3.658,4.901e-05,10.0035018385725
"960","BHL",24402.1473889702,1652.75744265495,10.579197418473
"961","RKL",4.278,6.914e-05,9.28476690885259
"962","BHL",25893.3195235629,2791.29984464008,8.02701623834919
"963","RKL",4.21,5.932e-05,9.95037190209989
"964","BHL",25581.9902788437,2065.23407521105,9.50443247520335
"965","HSL",4.555,4160,8.84574820723792
"966","BHL",26867.2756582483,3782.91241268135,9.1516170047891
"967","RKL",5.752,9.529e-05,10.7651420656914
"968","BHL",3012048.19277108,1403915.6626506,10.3224517495862
"969","HSL",7.91,2428,10.5146716312752
"970","BHL",20885.5472013367,702.589807852966,10.8650732635718
"971","RKL",5.61,8.934e-05,8.7908903249211
"972","BHL",68119.8910081744,17438.6920980926,10.4194935186459
"973","RKL",5.313,8.288e-05,8.293117081146
"974","BHL",48496.6052376334,12934.0446168768,10.5964075790739
"975","RKL",4.667,8.55e-05,11.3111750794782
"976","BHL",22396.4165733483,1761.03023516237,11.7630778873431
"977","RKL",3.606,5.791e-05,10.0574920264863
"978","BHL",119488.588839766,42442.3467558848,9.63589698356145
"979","HSL",5.615,3869,10.7820236695438
"980","BHL",39572.6157499011,8666.40284922833,9.33316741183197
"981","RKL",3.499,4.494e-05,9.98005980069749
"982","RKL",3.606,3.537e-05,10.4650384566015
"983","BHL",33422.4598930481,4973.26203208556,9.40304896279075
"984","RKL",7.406,0.0001311,9.05728736823989
"985","BHL",21026.0723296888,275.441547518923,12.5303838610324
"986","RKL",4.051,6.449e-05,10.1834261118397
"987","BHL",88495.5752212389,31575.2212389381,7.64495608845396
"988","HSL",5.446,4148,9.8772959664959
"989","BHL",46061.7227084293,11073.2381391064,9.48304052263602
"990","RKL",6.501,0.0001028,9.46179236570482
"991","BHL",55218.1115405853,15692.9872998343,9.79169429084317
"992","HSL",6.848,3130,10.8267978747786
"993","BHL",187265.917602996,78014.9812734082,10.7069817830121
"994","RKL",5.706,8.686e-05,10.7782653389807
"995","BHL",45024.763619991,14322.3773075191,11.6531439179386
"996","RKL",6.132,0.0001057,9.8058067569092
"997","BHL",23820.8670795617,2589.32825154836,8.95861718290583
"998","RKL",4.31,5.073e-05,9.8058067569092
"999","BHL",54555.3737043099,14997.2722313148,10.2934275831327
"1000","HSL",11.04,1807,12.5778700903661
