"","mod","A","B","sigma"
"281","RKL",3.788,0.0001567,6.74660014851561
"282","HSL",5.608,2178,7.17958158617738
"283","RKL",11.1,0.0003193,7.7151674981046
"284","HSL",7.657,1890,5.71848859733081
"285","RKL",11.81,0.0003363,6.38095701112695
"286","HSL",4.631,2189,5.63883874434601
"287","RKL",15.04,0.0003739,7.05872583146045
"288","HSL",4.631,2843,7.22440771315168
"289","RKL",13.69,0.000326,7.10489660585635
"290","HSL",3.886,3350,6.42293744423385
"291","RKL",8.454,0.0002674,7.9757903402837
"292","HSL",5.4,2206,8.23386969592618
"293","RKL",12.63,0.0003694,5.04240850680043
"294","HSL",5.254,2011,6.7358778801799
"295","RKL",8.895,0.0002884,4.83707410681642
"296","HSL",4.708,2515,6.01384779324264
"297","RKL",20.99,0.0004891,4.78858230824279
"298","HSL",5.267,1883,6.46035812049728
"299","RKL",27.28,0.0004825,7.27200611779588
"300","HSL",4.233,2503,7.80155578535087
"301","RKL",8.375,0.0002511,4.82523440653381
"302","HSL",3.679,2540,8.8700736263517
"303","RKL",14.24,0.0004002,7.25476250110012
"304","HSL",5.736,2410,7.42269619025206
"305","RKL",8.338,0.0002715,5.18058226800174
"306","HSL",5.936,2403,6.62120992478266
"307","RKL",2.968,8.585e-05,6.92045665447833
"308","HSL",5.701,2531,10.1482319514521
"309","RKL",11.84,0.0003718,7.07992325404789
"310","HSL",4.873,2277,5.48161262066893
"311","RKL",7.005,0.0002018,6.78219434059487
"312","HSL",6.349,2225,6.98600706970301
"313","RKL",10.14,0.0002904,8.58756733215908
"314","HSL",5.708,2771,7.82061887005775
"315","RKL",12.72,0.0004113,7.34421082065386
"316","HSL",5.385,2593,7.24904183060784
"317","RKL",9.501,0.0002751,6.57382778558562
"318","HSL",4.226,2721,6.37447163795911
"319","RKL",6.475,0.0001946,7.61828755571
"320","HSL",5.835,1946,7.18328526534359
"321","RKL",13.93,0.0003339,6.50118657483474
"322","HSL",5.255,1952,4.24361683125996
"323","RKL",12.92,0.0003826,6.44557928460149
"324","HSL",4.769,1910,6.99112689968278
"325","RKL",5.781,0.0001712,10.2689756658272
"326","HSL",3.853,2185,7.47017880833996
"327","RKL",14.14,0.0003215,6.09484228885399
"328","HSL",4.884,2612,6.85349608904501
"329","RKL",22.93,0.0004846,6.76819919807267
"330","HSL",3.58,3037,7.48062223411349
"331","RKL",5.276,0.0002661,7.93301090706453
"332","HSL",4.315,3158,6.77130174198903
"333","RKL",11.17,0.0003354,13.7829461604993
"334","HSL",3.502,3977,4.92485368784836
"335","RKL",16.25,0.0004312,6.11189401187569
"336","HSL",4.315,2420,6.45901038748574
"337","RKL",10.47,0.0003344,6.06004960776913
"338","HSL",4.157,2698,7.85431821488056
"339","RKL",4.272,0.0001611,7.0604850154956
"340","HSL",2.972,3485,6.90065559342354
"341","RKL",15.1,0.0004002,7.8860037234564
"342","HSL",4.12,3742,5.97507616403441
"343","RKL",13.36,0.0003286,6.6009836198445
"344","HSL",6.144,2658,7.44529196912675
"345","RKL",16.43,0.0003918,5.35441171097649
"346","HSL",2.984,3335,7.5335044295324
"347","RKL",9.776,0.0003152,8.29026672289678
"348","HSL",3.819,2613,5.33912646223177
"349","RKL",12.26,0.0003679,8.01669209743582
"350","HSL",3.543,2962,7.02554919986499
"351","RKL",11.17,0.0003105,4.51753951452626
"352","HSL",5.068,2487,8.24786098842323
"353","RKL",23.74,0.000547,7.8860037234564
"354","HSL",5.169,1934,6.53999997384
"355","RKL",14.1,0.0003626,5.44815549867895
"356","HSL",6.675,1876,5.95174835968536
"357","RKL",15.68,0.0004764,6.01929265428846
"358","HSL",3.582,2835,8.96942154926387
"359","RKL",8.713,0.0002466,5.41609781820965
"360","HSL",4.222,2865,7.07106781186548
"361","RKL",8.079,0.0002145,7.05696796172046
"362","HSL",3.403,2220,9.33723503783107
"363","RKL",16.23,0.0005592,7.23953737938449
"364","HSL",3.808,3601,7.5528183879811
"365","RKL",4.245,0.0001784,6.8567174739886
"366","HSL",3.057,2868,7.33432760958148
"367","RKL",6.295,0.0002099,7.48271618019624
"368","HSL",4.084,3281,5.50648771117132
"369","RKL",14.43,0.0003952,10.001000150025
"370","HSL",2.652,3745,10.8593060690767
"371","RKL",12.81,0.0004122,4.80847036834345
"372","HSL",4.803,2269,9.59588616582912
"373","RKL",9.96,0.0003036,5.66592699670074
"374","HSL",7.295,1909,7.36010739947077
"375","RKL",14.37,0.0003143,8.30741310465378
"376","HSL",2.771,3247,7.9987203071181
"377","RKL",11.42,0.0003485,5.01317690682971
"378","HSL",5.823,2139,7.12470499879096
"379","RKL",14.54,0.0004059,5.087230797228
"380","HSL",6.543,1899,5.75530632066188
"381","RKL",6.574,0.0002248,6.61251876821467
"382","HSL",4.35,3126,6.83266718075656
"383","RKL",12.89,0.0004737,10.2350338890209
"384","HSL",4.184,2911,6.09371057548636
"385","RKL",16.02,0.0003158,7.72436865521826
"386","HSL",5.312,2159,6.85832987083017
"387","RKL",6.833,0.0002626,6.90723704994422
"388","HSL",3.35,4056,4.72086917314431
"389","RKL",16.88,0.000381,5.46276836935602
"390","HSL",4.553,2554,7.1265139882828
"391","RKL",13.56,0.0003618,6.68451587308695
"392","HSL",5.915,1864,7.04295212273764
"393","RKL",7.29,0.0002499,5.48986682293609
"394","HSL",2.348,3848,6.44156626400831
"395","RKL",18.79,0.0004191,6.75429033697874
"396","HSL",4.04,2092,5.38928919154696
"397","RKL",12.68,0.0003181,5.57191698841605
"398","HSL",6.039,1861,6.82311767618669
"399","RKL",18.14,0.0004461,6.56249359131798
"400","HSL",2.321,3635,6.74353141961065
"401","RKL",13.37,0.0003175,5.78605275017901
"402","HSL",5.905,1978,6.83266718075656
"403","RKL",5.433,0.0002064,7.39221270954573
"404","HSL",5.093,2289,5.10709510863246
"405","RKL",6.917,0.000201,9.08715484375708
"406","HSL",4.878,2446,6.71156055214024
"407","RKL",4.799,0.0001812,6.02256667827506
"408","HSL",4.869,2890,8.10041961260418
"409","RKL",9.017,0.0002466,11.27875341474
"410","HSL",2.12,4089,6.85994340570035
"411","RKL",24.56,0.0004418,8.2450570240422
"412","HSL",4.795,2020,5.39399120424148
"413","RKL",10.05,0.0003369,5.21569573937187
"414","HSL",4.883,2254,8.20609939862218
"415","RKL",11.08,0.0003687,6.54981243243216
"416","HSL",5.069,2312,6.71458582186888
"417","RKL",8.35,0.0004169,6.53580811358206
"418","HSL",2.756,3122,6.28446264799876
"419","RKL",9.695,0.0002897,7.05345615858598
"420","HSL",4.842,2673,6.30817533085243
"421","RKL",12.35,0.0003655,6.53162430341455
"422","HSL",3.004,3029,8.91933264482034
"423","RKL",7.841,0.0003292,9.99001497504367
"424","HSL",7.077,1911,6.81677353936515
